Country,data1,data2,data3,data4,data5
Zimbabwe,188,5394,762,15890,8419
Russia,423,7835,757,11153,391
New Zealand,386,5042,243,16599,6588
China,160,9831,398,10871,668
Kazakhstan,129,8936,475,11270,6279
China,461,8554,75,17184,1224
Uzbekistan,341,4203,908,19340,2288
Mexico,266,4975,193,17191,8415
Philippines,115,6521,310,10635,5069
Russia,176,9369,670,19987,3845
Macedonia,257,5013,925,19543,864
France,355,8630,513,17542,1299
United States,132,4611,854,18319,580
Ethiopia,355,6498,87,19360,7658
Madagascar,368,8001,786,19675,3536
China,404,9670,930,17032,4682
Brazil,175,4390,836,15657,8162
South Africa,412,9422,707,17412,9310
Netherlands,418,4031,967,18990,2616
China,181,4847,708,14721,6451
Indonesia,402,6236,406,19258,2442
United States,118,9927,927,14385,1690
Philippines,307,9461,2,14904,6533
China,374,9510,68,17522,1023
China,458,4561,52,11422,1167
France,347,8825,948,10699,7937
France,162,9054,288,11695,9515
Mongolia,447,5532,41,16394,6255
Czech Republic,249,4890,790,15164,6775
Czech Republic,217,8959,695,18367,4344
China,296,8583,665,11985,2688
Czech Republic,251,5998,679,18519,6541
Albania,213,5394,441,11184,2320
Indonesia,151,5573,748,17297,2473
Japan,194,7987,183,14724,72
Indonesia,363,4090,146,19859,4924
China,458,6988,119,11767,6752
Greece,387,6657,951,16652,2129
Brazil,352,7044,815,15622,4409
Portugal,413,5725,106,13494,6139
China,496,9231,68,16409,825
Indonesia,138,8986,801,14511,5442
China,318,5304,642,16697,8543
China,225,8485,318,16810,7555
Canada,206,6414,874,10831,7225
Sweden,298,9991,836,18611,7427
Japan,286,7391,821,10960,8955
Sweden,383,8184,533,19391,9579
China,441,5015,560,14838,3020
Uruguay,179,6168,292,13865,4219
Poland,448,4735,433,15631,6446
Philippines,331,9545,124,15014,942
North Korea,233,5595,794,13303,5590
France,354,8972,255,12339,7314
Indonesia,123,8425,105,15131,4458
Kazakhstan,206,8252,252,10042,7730
Indonesia,279,5262,406,16365,6975
Tanzania,436,6189,713,19146,5855
Sweden,301,8026,13,14889,8784
Colombia,256,5026,288,18407,8270
Indonesia,403,8719,457,10126,460
Russia,281,9550,410,18137,3739
Dominican Republic,332,5127,756,17872,324
China,227,4679,104,11493,7304
Ukraine,152,8118,97,14766,1354
France,162,6733,874,14765,1968
Indonesia,171,9794,183,10079,9624
Slovenia,294,8014,856,16604,7370
Portugal,135,5076,879,12109,9024
Czech Republic,125,5198,855,18595,8467
Tanzania,431,6104,262,11955,9888
Indonesia,103,4527,951,13891,1720
Brazil,103,7772,598,14072,8196
Burundi,349,4304,989,12353,567
Malaysia,243,7893,284,17908,85
Tanzania,453,5247,134,15907,2254
Netherlands,429,6438,812,18632,4742
France,427,7687,349,11208,1016
Indonesia,196,4427,219,14123,7623
Equatorial Guinea,327,8489,942,13427,3540
China,255,6410,895,13920,5867
France,234,9856,271,10103,1414
Brazil,183,6303,797,10690,2545
Russia,330,9333,764,14296,4696
Brazil,193,7796,904,16158,6931
Russia,313,8050,220,18935,7871
Russia,437,9610,511,18534,5061
Czech Republic,353,6299,858,18251,9466
Dominican Republic,337,4257,543,19697,1481
Russia,279,7303,805,17954,4975
France,295,9522,449,13948,9197
China,278,8704,578,17310,1594
China,237,8483,495,16150,7606
Lithuania,319,8615,396,11737,6182
Iraq,320,7638,541,10150,4892
China,347,7217,993,18970,8242
China,156,6338,663,18897,5613
Madagascar,411,9191,934,15674,5344
Trinidad and Tobago,383,6189,346,12928,9475
Djibouti,400,5497,311,17362,6176
United States,498,6810,882,14760,3031
United States,136,8420,206,18680,3790
United States,410,8956,94,16436,4004
South Korea,477,8581,495,17830,8205
United States,413,9069,358,11922,4829
Honduras,372,5039,123,13168,4277
Indonesia,185,7742,621,16962,5751
China,165,9962,698,13828,459
China,194,9417,188,14531,1926
Indonesia,276,6349,85,17931,2189
Sierra Leone,253,5245,81,15163,9479
Canada,391,5589,647,11690,7534
China,224,7281,942,16184,8868
Poland,374,9269,316,16187,4354
Canada,480,9926,779,16474,9938
France,217,7267,381,19836,2515
Indonesia,279,5677,825,16263,1269
France,420,6749,200,13157,3357
Indonesia,264,5398,763,12427,1668
Democratic Republic of the Congo,422,6369,793,19916,6152
Canada,169,7251,659,10390,9306
France,399,5810,898,14953,1991
Luxembourg,473,4063,661,19218,3589
Indonesia,450,6340,608,19162,7205
Philippines,301,4685,858,14461,4877
China,425,8348,60,17642,6732
Serbia,437,7796,141,11347,9522
France,106,7489,412,14013,3699
Morocco,385,4544,259,11962,9229
China,340,5776,439,11353,9923
Ethiopia,186,8851,162,17694,4198
Peru,383,9223,456,18038,3384
China,477,9564,473,12508,3198
Senegal,144,9440,509,13688,6055
Iran,196,9470,459,18815,5443
France,298,5932,966,14378,5085
Iraq,276,8936,567,16725,9415
China,225,5803,948,18385,1136
Russia,305,8331,942,12270,8495
Panama,204,5336,32,12469,1272
China,234,7118,634,13150,7150
Brazil,336,7967,559,10051,165
Russia,142,7873,363,14685,1725
Madagascar,361,8358,842,11803,7825
Portugal,422,7911,750,10368,8157
Indonesia,258,9337,475,17943,9652
Indonesia,195,5533,642,17150,268
China,300,8002,410,14829,737
South Korea,442,6281,497,14890,4419
Peru,197,4432,312,13645,765
China,429,6494,869,19525,1460
Sweden,263,7276,853,10484,4702
China,214,4112,60,11293,4929
Malawi,393,6595,599,10736,4098
Argentina,443,9790,721,11905,4288
Bangladesh,330,5079,275,16656,5531
Thailand,497,6151,109,13014,9130
China,102,6694,893,13601,6505
China,197,4296,273,18126,2993
Russia,104,8874,869,18101,5467
Serbia,147,4665,829,13403,7669
Indonesia,385,7237,719,19612,19
Serbia,475,8212,273,16405,8724
Russia,132,4691,235,10555,4069
China,390,8967,512,10949,7355
Albania,415,5597,620,17187,7451
Ivory Coast,105,4853,137,19975,5854
Sweden,459,8492,196,10771,3495
Peru,365,4645,280,18249,1814
Peru,364,4168,530,12148,7797
Peru,350,5686,15,15211,308
Poland,261,7116,601,13737,3679
Russia,484,7504,284,18636,2372
China,264,7466,521,17368,9594
Philippines,346,9585,840,14030,543
Malaysia,381,9269,974,19701,9625
Mongolia,281,6400,498,16285,7058
Indonesia,396,9863,66,11049,5303
France,482,7182,689,17856,7086
Portugal,291,8615,740,13890,4107
China,455,6812,200,14192,756
Portugal,392,8100,232,18966,390
United States,382,6588,384,15769,1556
China,139,4361,564,14128,924
Brazil,383,7090,132,18124,3761
South Africa,125,6628,260,10613,5130
Serbia,348,4466,538,13500,1017
Philippines,295,5704,166,19555,2018
Indonesia,260,7909,696,18891,213
Portugal,388,5098,721,17674,8580
Luxembourg,211,4153,598,10431,9067
Armenia,339,8297,78,16182,8224
Lithuania,306,5496,577,18561,4329
Indonesia,313,8770,987,18555,3512
China,113,7996,786,14386,4761
Micronesia,310,9084,606,16520,7102
Poland,203,6161,702,18713,6068
China,100,8266,238,17133,438
Russia,233,9508,172,15242,6004
China,485,4588,369,11709,9517
France,380,7969,206,16906,7399
Bosnia and Herzegovina,273,5623,994,13244,1235
Indonesia,403,6641,843,13994,7589
Philippines,415,9972,406,18414,7632
Uruguay,421,6578,510,15487,8429
Aland Islands,337,6171,352,15850,2225
Netherlands,371,5863,81,17130,2931
